// PatSize	  TextSize	  Naive-RT	    KMP-RT
    100000	    410000	      7086	      2192
        10	    420000	      3691	      3735
       100	    420000	      3717	      3221
      1000	    420000	      3796	      3288
     10000	    420000	      4755	      3807
    100000	    420000	      7293	      2454
        10	    430000	      3983	      3067
       100	    430000	      3833	      2989
      1000	    430000	      3986	      2996
     10000	    430000	      4704	      2793
    100000	    430000	      7995	      2630
        10	    440000	     21909	      3049
       100	    440000	      4046	      3526
      1000	    440000	      4136	      3023
     10000	    440000	      4200	      2825
    100000	    440000	      7366	      2267
        10	    450000	      6366	      3108
       100	    450000	      4285	      3116
      1000	    450000	      3975	      3576
     10000	    450000	      5031	      2936
    100000	    450000	      7501	      2507
        10	    460000	      4400	      3284
       100	    460000	      4213	      3662
      1000	    460000	      4010	      3350
     10000	    460000	      4372	      3367
    100000	    460000	     10672	      2829
        10	    470000	      4758	      3425
       100	    470000	      5015	      3292
      1000	    470000	      4403	      3488
     10000	    470000	      4612	      3316
    100000	    470000	      8148	      2925
        10	    480000	      4575	      3526
       100	    480000	      4219	      3374
      1000	    480000	      4219	      3395
     10000	    480000	      4691	      3057
    100000	    480000	      8525	      3067
        10	    490000	      4313	      3408
       100	    490000	      4194	      3873
      1000	    490000	      4338	      3367
     10000	    490000	      4581	      3153
    100000	    490000	      8248	      2807
        10	    500000	      4312	      3571
       100	    500000	      4357	      3575
      1000	    500000	      6427	      3497
     10000	    500000	      5267	      3450
    100000	    500000	     11313	      2665
        10	    510000	      4382	      4338
       100	    510000	      4418	      4434
      1000	    510000	      4424	      3984
     10000	    510000	      4813	      3858
    100000	    510000	      9108	      4171
        10	    520000	      7558	      3653
       100	    520000	      5342	      3623
      1000	    520000	      5262	      3670
     10000	    520000	      6036	      3956
    100000	    520000	      9708	      2844
        10	    530000	      4718	      5410
       100	    530000	      4811	      4964
      1000	    530000	      4652	      5508
     10000	    530000	      5014	      4949
    100000	    530000	      8909	      4667
        10	    540000	      6598	      3755
       100	    540000	      5682	      4117
      1000	    540000	      6131	      5056
     10000	    540000	      6329	      3694
    100000	    540000	     10847	      5530
        10	    550000	      7558	      4099
       100	    550000	      6273	      3887
